Region,Population,Median Household Income(pre-tax)
Toronto,2731571,65829
Agincourt North,29113,64686
Agincourt South-Malvern West,23757,61992
Alderwood,12054,83249
Annex,30526,71053
Banbury-Don Mills,27695,77547
Bathurst Manor,15873,69634
Bay Street Corridor,25797,48737
Bayview Village,21396,67355
Bayview Woods-Steeles,13154,78965
Bedford Park-Nortown,23236,116672
Beechborough-Greenbrook,6577,45211
Bendale,29960,60292
Birchcliffe-Cliffside,22291,73216
Black Creek,21737,46580
Blake-Jones,7727,64483
Briar Hill-Belgravia,14257,60899
Bridle Path-Sunnybrook-York Mills,9266,215798
Broadview North,11499,52731
Brookhaven-Amesbury,17757,52988
Cabbagetown-South St. James Town,11669,61184
Caledonia-Fairbank,9955,66048
Casa Loma,10968,93022
Centennial Scarborough,13362,114897
Church-Yonge Corridor,31340,56366
Clairlea-Birchmount,26984,68524
Clanton Park,16472,69997
Cliffcrest,15935,75291
Corso Italia-Davenport,14133,71434
Danforth,9666,76597
Danforth East York,17180,81253
Don Valley Village,27051,63997
Dorset Park,25003,57986
Dovercourt-Wallace Emerson-Junction,36625,64331
Downsview-Roding-CFB,35052,57611
Dufferin Grove,11785,59099
East End-Danforth,21381,69026
Edenbridge-Humber Valley,15535,84113
Eglinton East,22776,53081
Elms-Old Rexdale,9456,59576
Englemount-Lawrence,22372,58003
Eringate-Centennial-West Deane,18588,88872
Etobicoke West Mall,11848,63973
Flemingdon Park,21933,48917
Forest Hill North,12806,70920
Forest Hill South,10732,94536
Glenfield-Jane Heights,30491,51964
Greenwood-Coxwell,14417,70574
Henry Farm,15723,56644
High Park North,22162,68116
High Park-Swansea,23925,82753
Highland Creek,12494,102740
Hillcrest Village,16934,70539
Humber Heights-Westmount,10948,68996
Humber Summit,12416,61373
Humbermede,15545,57609
Humewood-Cedarvale,14365,61440
Ionview,13641,53177
Islington-City Centre West,43965,72921
Junction Area,14366,73720
Keelesdale-Eglinton West,11058,57780
Kennedy Park,17123,51028
Kensington-Chinatown,17945,44216
Kingsview Village-The Westway,22000,60824
Kingsway South,9271,151552
Lambton Baby Point,7985,84414
L'Amoreaux,43993,59445
Lansing-Westgate,16164,80384
Lawrence Park North,14607,144963
Lawrence Park South,15179,151885
Leaside-Bennington,16828,126930
Little Portugal,15559,66542
Long Branch,10084,61536
Malvern,43794,64114
Maple Leaf,10111,62976
Markland Wood,10554,86965
Milliken,26572,65861
Mimico (includes Humber Bay Shores),33964,67525
Morningside,17455,59963
Moss Park,20506,52490
Mount Dennis,13593,52162
Mount Olive-Silverstone-Jamestown,32954,55334
Mount Pleasant East,16775,93566
Mount Pleasant West,29658,61839
New Toronto,11463,50891
Newtonbrook East,16097,60358
Newtonbrook West,23831,54981
Niagara,31180,79441
North Riverdale,11916,89063
North St. James Town,18615,41016
Oakridge,13845,39757
Oakwood Village,21210,58216
O'Connor-Parkview,18675,59729
Old East York,9233,77824
Palmerston-Little Italy,13826,71168
Parkwoods-Donalda,34805,65126
Pelmo Park-Humberlea,10722,79508
Playter Estates-Danforth,7804,73216
Pleasant View,15818,70189
Princess-Rosethorn,11051,139039
Regent Park,10803,42369
Rexdale-Kipling,10529,63232
Rockcliffe-Smythe,22246,54908
Roncesvalles,14974,63130
Rosedale-Moore Park,20923,106740
Rouge,46496,92457
Runnymede-Bloor West Village,10070,112128
Rustic,9941,44904
Scarborough Village,16724,49568
South Parkdale,21849,41761
South Riverdale,27876,76172
St.Andrew-Windfields,17812,98420
Steeles,24623,66719
Stonegate-Queensway,25051,85138
Tam O'Shanter-Sullivan,27446,58246
Taylor-Massey,15683,46669
The Beaches,21567,100365
Thistletown-Beaumond Heights,10360,65459
Thorncliffe Park,21108,46595
Trinity-Bellwoods,16556,72226
University,7607,57847
Victoria Village,17510,51867
Waterfront Communities-The Island,65913,78479
West Hill,27392,56051
West Humber-Clairville,33312,70741
Westminster-Branson,26274,54101
Weston,17992,45695
Weston-Pelham Park,11098,59682
Wexford/Maryvale,27917,62837
Willowdale East,50434,61920
Willowdale West,16936,59675
Willowridge-Martingrove-Richview,22156,71584
Woburn,53485,56186
Woodbine Corridor,12541,76476
Woodbine-Lumsden,7865,74608
Wychwood,14349,66089
Yonge-Eglinton,11817,80896
Yonge-St.Clair,12528,80136
York University Heights,27593,53772
Yorkdale-Glen Park,14804,63778
